typename,inches,width,height,clock_speed,ram,disk_size,weight,ubm_effective_speed,price_euros
Notebook,15.6,1920,1080,2.0,4,500,2.2,4.2,409.0
Notebook,11.6,1366,768,1.1,2,32,1.15,3.44,304.45
Workstation,15.6,1920,1080,2.8,8,512,2.67,8.37,1925.0
Ultrabook,14.0,2560,1440,2.8,8,512,1.7,57.7,1943.0
Notebook,15.6,1920,1080,2.0,4,1000,2.1,4.96,469.0
2 in 1 Convertible,13.3,1920,1080,2.5,8,256,1.6,4.2,789.01
2 in 1 Convertible,13.3,1920,1080,2.5,8,256,1.27,4.54,928.0
Notebook,13.3,1366,768,2.0,4,128,1.65,4.2,689.0
Ultrabook,14.0,1920,1080,2.5,8,256,1.43,4.2,1500.0
Notebook,15.6,1366,768,2.5,8,1000,2.14,4.54,539.95
Ultrabook,14.0,1920,1080,1.8,8,256,1.75,14.1,1215.38
2 in 1 Convertible,15.6,3840,2160,2.8,16,512,2.0,25.7,1899.0
Notebook,12.3,2736,1824,1.1,6,64,1.4,3.44,449.0
Notebook,15.6,1920,1080,2.9,8,256,2.31,5.08,1427.0
Notebook,15.6,1920,1080,2.4,8,1000,2.3,8.62,597.0
Gaming,17.3,2560,1440,2.9,16,1256,4.42,79.7,2799.0
Gaming,15.6,1920,1080,2.8,8,1128,2.62,29.3,1159.0
Notebook,15.6,1920,1080,1.8,8,2256,2.02,6.64,1142.4
Ultrabook,14.0,1920,1080,2.8,8,256,1.6,4.54,1099.0
Gaming,17.3,1920,1080,2.8,12,1256,3.35,79.7,1999.0
2 in 1 Convertible,11.6,1920,1080,1.1,4,32,1.16,3.44,299.0
Netbook,11.6,1366,768,1.6,4,16,1.15,3.18,269.0
Notebook,13.3,1920,1080,2.7,8,256,1.4,4.54,1010.0
Notebook,14.0,1920,1080,2.7,4,128,1.7,4.54,599.0
Workstation,15.6,3840,2160,2.8,16,512,2.3,8.62,2445.0
Notebook,15.6,1920,1080,2.9,16,512,2.5,84.6,2449.0
Gaming,17.3,1920,1080,3.2,8,1256,3.2,51.6,1695.0
Notebook,15.6,1366,768,1.6,4,500,2.1,3.18,347.0
Ultrabook,12.3,2400,1600,1.3,16,512,1.1,3.4,2199.0
Ultrabook,14.0,2560,1440,2.7,24,512,1.32,4.54,2382.0
Notebook,15.6,1920,1080,2.5,4,256,2.0,4.54,559.0
Notebook,17.3,1600,900,2.5,8,1000,2.8,17.5,519.0
Notebook,15.6,1920,1080,1.6,4,256,2.2,6.64,749.0
Ultrabook,12.5,1920,1080,2.5,8,256,1.36,4.54,1429.0
Gaming,15.6,1920,1080,2.8,8,1128,2.2,25.7,1099.0
Notebook,14.0,1920,1080,2.8,8,256,1.64,7.91,1179.0
Notebook,15.6,1366,768,2.5,4,500,2.4,4.54,441.8
Workstation,15.6,1920,1080,3.0,8,1064,2.23,52.6,1993.0
Gaming,15.6,1920,1080,2.5,8,256,2.2,25.7,1027.74
Ultrabook,13.5,2256,1504,2.5,16,512,1.25,7.49,2589.0
Notebook,15.6,1366,768,2.5,8,128,1.91,4.54,589.0
Workstation,15.6,1920,1080,2.7,16,256,2.17,52.6,1975.0
Workstation,15.6,1920,1080,2.9,8,512,2.31,4.54,1534.0
Notebook,14.0,1920,1080,2.5,8,256,1.65,4.54,1345.0
Notebook,15.6,1920,1080,1.8,8,1128,2.36,6.64,979.0
2 in 1 Convertible,11.6,1366,768,1.6,4,500,1.47,2.1,479.0
Notebook,17.3,1920,1080,2.7,8,1000,4.42,46.7,2046.0
Ultrabook,13.5,2256,1504,2.2,4,128,1.252,3.4,989.0
Ultrabook,13.5,2256,1504,2.5,8,256,1.25,7.49,1799.0
Notebook,17.3,1600,900,2.0,8,256,2.5,4.2,639.9
Notebook,15.6,1920,1080,2.0,4,1000,2.23,8.62,544.0
Netbook,11.6,1366,768,1.6,4,128,1.4,3.18,435.0
Notebook,15.6,1920,1080,2.5,8,1000,2.37,4.54,749.0
Notebook,14.0,1920,1080,2.7,8,512,1.5,35.8,799.0
Notebook,15.6,1920,1080,2.9,8,256,2.67,84.6,2090.0
Notebook,15.6,1366,768,1.1,4,500,2.0,3.44,304.0
Notebook,15.6,1366,768,2.0,4,500,2.2,9.0,469.0
Notebook,15.6,1920,1080,1.6,8,2000,2.02,6.64,759.0
Gaming,17.3,1920,1080,2.8,12,1000,3.78,46.7,1699.0
Ultrabook,14.0,2560,1440,2.6,12,256,1.4,4.2,1858.0
2 in 1 Convertible,13.3,3840,2160,1.8,8,512,1.29,4.8,1999.0
Ultrabook,12.3,2400,1600,1.2,8,128,1.1,3.4,1275.0
Ultrabook,13.3,1920,1080,1.6,8,256,1.42,4.8,1841.85
Notebook,15.6,3840,2160,2.6,12,1128,2.06,4.64,1299.0
Notebook,14.0,1366,768,2.3,8,128,1.79,4.2,740.0
Workstation,15.6,1920,1080,2.8,8,256,1.78,8.37,2408.0
Notebook,14.0,1920,1080,2.5,8,180,1.7,4.54,1364.0
Notebook,15.6,1920,1080,1.6,8,1000,2.2,4.96,675.0
Notebook,13.3,1920,1080,2.5,8,256,1.05,4.54,1672.0
Notebook,15.6,1920,1080,1.8,8,512,2.16,8.62,1262.0
Notebook,15.6,1366,768,2.4,4,1000,2.18,4.54,586.6
Notebook,13.3,1920,1080,1.6,4,128,1.49,4.8,726.0
Notebook,15.6,1920,1080,1.44,4,64,1.89,1.56,248.9
Notebook,15.6,1366,768,2.0,4,128,2.3,4.2,565.0
Notebook,14.0,1920,1080,1.6,8,256,1.75,4.8,1049.0
Workstation,15.6,1920,1080,2.7,16,512,2.17,52.6,2338.0
Notebook,15.6,1920,1080,2.8,16,512,2.06,25.7,1899.0
Ultrabook,12.5,1920,1080,2.7,16,512,1.36,4.54,1798.0
Ultrabook,12.5,1920,1080,2.7,16,512,0.91,4.54,1950.0
Notebook,15.6,1920,1080,2.5,8,256,2.3,8.62,1011.99
Ultrabook,13.3,1920,1080,2.7,32,512,1.05,4.54,2799.0
Gaming,15.6,1920,1080,2.8,8,1128,1.99,25.7,1350.0
Notebook,15.6,1366,768,2.5,8,1000,2.2,29.2,579.0
Gaming,17.3,1920,1080,2.6,24,1256,4.33,23.5,1269.0
Ultrabook,12.5,1366,768,2.3,8,180,1.3,4.2,1099.0
Notebook,15.6,1920,1080,1.8,8,256,2.17,4.8,898.9
Notebook,14.0,1920,1080,2.8,8,1000,1.48,4.54,1749.0
Notebook,13.3,1920,1080,2.4,8,256,1.4,4.54,949.0
Notebook,15.6,1920,1080,2.5,8,256,2.3,4.54,911.0
Netbook,11.6,1366,768,1.1,4,64,1.2,3.44,340.0
Notebook,15.6,1366,768,2.5,8,256,1.91,4.96,618.99
2 in 1 Convertible,13.9,1920,1080,1.6,8,256,1.4,4.8,1599.0
Notebook,14.0,1366,768,1.1,4,500,2.1,3.44,299.0
Netbook,11.6,1366,768,1.6,4,16,1.25,3.18,265.0
Notebook,13.3,1920,1080,2.5,8,256,1.44,4.54,949.0
Notebook,15.6,1920,1080,2.7,8,1256,2.0,4.54,1224.0
Notebook,15.6,1920,1080,1.6,4,1000,2.2,13.7,613.0
Ultrabook,13.3,1920,1080,2.7,8,512,1.34,4.54,1323.0
Gaming,15.6,1920,1080,2.8,8,1256,2.4,46.7,1149.0
Ultrabook,13.3,1920,1080,2.5,8,128,1.29,4.54,899.0
Notebook,15.6,1920,1080,2.7,4,500,2.2,8.62,639.0
Notebook,15.6,1920,1080,2.5,8,1000,2.18,4.54,836.0
Notebook,15.6,1920,1080,1.8,16,2256,2.2,6.64,1219.24
Notebook,15.6,1920,1080,1.8,16,256,1.95,13.7,1399.95
Netbook,11.6,1366,768,1.1,2,32,1.1,3.44,245.0
Notebook,15.6,1366,768,1.6,4,1000,2.04,4.8,521.47
Gaming,15.6,1920,1080,2.8,24,512,2.24,102.0,2968.0
Notebook,15.6,1920,1080,2.5,8,256,2.04,7.91,889.0
Gaming,17.3,1920,1080,2.8,16,1256,3.0,29.3,1504.0
Gaming,15.6,1920,1080,2.8,8,1256,3.2,46.7,1399.0
Ultrabook,13.3,1920,1080,2.7,8,256,1.32,4.54,1399.0
Notebook,14.0,1920,1080,2.6,8,256,1.64,4.54,1279.73
Notebook,15.6,1366,768,2.0,4,128,1.63,4.2,689.0
Notebook,17.3,1920,1080,1.6,8,1128,2.8,6.64,889.0
Notebook,14.0,1920,1080,2.3,8,256,2.02,4.2,1340.0
Notebook,15.6,1920,1080,2.7,4,1000,2.2,5.76,799.0
Notebook,15.6,1920,1080,2.8,8,256,1.9,4.54,1377.0
Gaming,17.3,1920,1080,2.8,16,1128,4.42,79.7,3012.77
Notebook,15.6,1920,1080,2.5,8,500,2.0,4.54,860.0
Notebook,15.6,3840,2160,2.7,8,1256,2.0,16.4,1299.0
Notebook,13.3,1920,1080,1.1,4,32,1.2,3.44,369.0
Gaming,15.6,1920,1080,2.5,8,1128,2.3,46.7,1649.0
Notebook,15.6,1920,1080,2.8,8,256,1.93,7.91,1369.0
Notebook,15.6,1920,1080,1.6,8,256,2.2,6.64,797.41
Notebook,15.6,1920,1080,1.6,4,256,1.86,2.1,398.99
Gaming,17.3,1920,1080,2.8,12,1000,2.62,46.7,1799.0
Notebook,14.0,1920,1080,2.7,8,256,1.87,8.62,859.0
Ultrabook,13.3,3200,1800,1.8,8,256,1.2,4.8,1399.0
Notebook,14.0,1920,1080,2.0,4,128,1.6,4.2,735.87
Ultrabook,13.3,3200,1800,2.7,8,256,1.34,4.54,1145.0
Gaming,15.6,1920,1080,2.5,8,1000,2.4,25.7,798.0
Notebook,15.6,1366,768,1.8,4,500,2.0,12.3,349.0
Notebook,15.6,1920,1080,2.4,4,128,2.1,4.54,705.5
Notebook,14.0,1920,1080,2.5,4,500,1.87,4.54,785.0
Notebook,15.6,1920,1080,2.3,4,1000,2.15,4.2,462.35
Notebook,15.6,1920,1080,2.0,4,500,1.86,4.2,397.0
Notebook,15.6,1920,1080,2.7,8,512,1.99,4.54,1729.0
Notebook,15.6,1920,1080,2.0,4,128,2.2,4.2,499.0
Notebook,15.6,1920,1080,2.5,8,256,1.9,4.54,1116.99
Gaming,17.3,1920,1080,2.8,16,1256,4.42,79.7,2699.0
Notebook,17.3,1600,900,2.0,8,1000,2.65,4.2,544.15
Notebook,17.3,1920,1080,2.7,8,1000,2.63,7.91,1280.0
Notebook,15.6,1366,768,1.1,4,500,2.0,3.44,224.0
Notebook,13.3,1920,1080,1.44,4,32,1.35,1.56,255.0
Notebook,17.3,1600,900,2.7,6,1128,2.8,8.62,949.0
Notebook,15.6,1920,1080,2.5,6,128,1.91,6.64,568.9
2 in 1 Convertible,11.6,1920,1080,2.0,4,32,1.25,3.44,349.0
Notebook,15.6,1920,1080,2.7,4,128,2.05,4.54,630.0
Ultrabook,13.3,3200,1800,1.2,16,512,1.16,2.92,1965.0
Notebook,17.3,1920,1080,2.8,8,256,3.4,52.7,2999.0
Notebook,15.6,1920,1080,2.5,8,1128,2.5,25.7,839.0
Ultrabook,13.3,3840,2160,1.6,8,128,1.21,4.8,1599.0
Notebook,15.6,1366,768,2.6,4,500,1.93,4.54,959.0
Notebook,15.6,1366,768,2.5,8,1000,2.2,4.54,739.0
Notebook,14.0,1366,768,2.5,4,500,2.02,4.54,990.0
Workstation,17.3,1600,900,2.8,8,500,3.14,8.37,1860.99
Notebook,14.0,1366,768,1.6,8,2000,1.94,2.1,389.0
Notebook,15.6,1920,1080,3.0,6,256,1.95,6.64,649.0
Notebook,15.6,1920,1080,2.5,8,256,2.3,4.54,830.0
Notebook,15.6,1920,1080,1.6,4,500,2.05,4.54,685.0
Notebook,14.0,1920,1080,1.44,4,32,1.4,1.56,249.0
Ultrabook,14.0,1920,1080,2.7,16,512,1.24,4.54,1865.0
Gaming,17.3,1920,1080,2.7,32,1256,4.6,79.7,2663.0
Gaming,17.3,1920,1080,2.9,16,1512,4.14,79.7,2729.0
Notebook,14.0,1920,1080,1.1,4,32,1.45,3.44,389.0
Notebook,15.6,1366,768,2.6,8,500,1.9,4.54,1008.52
Notebook,13.3,1920,1080,2.4,4,128,1.49,4.54,719.0
Notebook,15.6,1920,1080,2.8,16,256,1.93,7.91,1537.39
Netbook,11.6,1366,768,1.6,4,16,1.26,3.18,295.0
Gaming,17.3,1920,1080,2.7,16,1128,4.5,40.6,2349.0
Gaming,17.3,1920,1080,2.8,16,1256,3.78,25.7,1498.0
Ultrabook,14.0,1920,1080,2.6,12,256,1.4,4.2,1673.0
Notebook,15.6,1366,768,1.8,12,1000,2.2,4.54,609.0
Gaming,17.3,1920,1080,2.5,8,1128,2.73,46.7,1770.0
2 in 1 Convertible,15.6,1366,768,2.5,8,1000,2.2,4.2,739.0
Notebook,15.6,1920,1080,3.6,12,512,2.2,6.64,949.0
2 in 1 Convertible,11.6,1366,768,1.0,4,128,1.39,3.4,603.0
Notebook,15.6,1920,1080,2.8,16,1128,2.5,25.7,1699.0
Notebook,17.3,1920,1080,2.0,4,500,2.8,4.2,529.0
Notebook,15.6,1366,768,2.3,8,1000,2.29,4.2,459.0
2 in 1 Convertible,13.3,1920,1080,2.7,8,512,1.37,4.54,2025.0
Notebook,14.0,1920,1080,2.5,8,256,1.7,5.08,1474.0
2 in 1 Convertible,12.5,1920,1080,2.5,8,256,1.34,4.54,1670.0
Workstation,15.6,1920,1080,2.8,8,256,2.06,52.6,1763.0
Notebook,15.6,1920,1080,2.7,8,256,1.84,4.54,1219.0
Notebook,15.6,1366,768,2.4,4,500,2.1,4.54,668.48
Notebook,14.0,1920,1080,1.1,4,32,1.6,3.44,329.0
Gaming,17.3,1920,1080,2.7,16,1128,4.14,30.7,2199.0
Gaming,15.6,3840,2160,2.8,16,2256,1.8,46.7,2299.0
Notebook,15.6,1920,1080,2.5,8,256,2.2,4.2,1399.0
Notebook,15.6,1920,1080,2.5,6,1000,2.4,4.54,564.0
2 in 1 Convertible,15.6,1920,1080,2.8,8,256,2.0,5.08,1299.0
Notebook,14.0,1366,768,1.6,4,128,1.6,2.1,349.0
Notebook,15.6,3840,2160,3.1,32,1000,2.5,84.6,4899.0
Gaming,15.6,1920,1080,2.6,16,1000,2.59,32.9,879.01
Notebook,15.6,1366,768,2.0,4,1000,2.18,4.2,443.9
Notebook,15.6,1366,768,2.0,4,1000,2.25,4.2,359.0
Notebook,15.6,1366,768,2.6,4,500,1.93,4.54,869.0
Gaming,17.3,1920,1080,2.8,8,1128,3.0,25.7,1168.0
Ultrabook,15.6,1920,1080,2.7,8,512,1.84,4.54,1389.0
Gaming,15.6,1920,1080,2.8,16,1256,2.94,79.7,2267.86
2 in 1 Convertible,11.6,1366,768,1.6,4,32,1.25,3.18,379.0
Notebook,14.0,1366,768,2.6,8,256,2.31,4.54,1124.0
Notebook,14.0,1920,1080,2.3,8,256,1.65,4.2,1465.0
Notebook,15.6,1920,1080,1.6,4,1000,2.2,6.64,776.0
Notebook,15.6,1366,768,2.5,8,256,2.2,4.54,799.0
Notebook,15.6,1366,768,2.3,4,500,1.88,4.2,932.0
Notebook,15.6,1920,1080,2.7,8,1000,2.2,5.76,899.0
Notebook,14.0,1920,1080,1.44,2,32,1.4,1.56,239.0
Notebook,15.6,1920,1080,2.5,4,128,2.2,4.54,468.0
2 in 1 Convertible,13.3,1920,1080,2.5,6,1000,1.5,4.54,639.01
Notebook,15.6,1920,1080,2.8,8,256,2.0,25.7,1820.0
Ultrabook,14.0,1920,1080,2.7,16,512,1.1,4.54,1900.0
Gaming,15.6,1920,1080,2.8,16,1256,2.62,29.3,1479.0
Notebook,15.6,1920,1080,1.6,4,256,1.8,4.8,829.0
Notebook,15.6,1366,768,1.1,8,1000,2.0,3.44,399.0
Notebook,15.6,1920,1080,2.5,8,1000,1.99,25.7,906.62
Ultrabook,13.3,3200,1800,1.6,8,256,1.23,4.8,1869.0
Notebook,14.0,1366,768,1.6,2,32,1.42,3.18,249.0
2 in 1 Convertible,13.3,1920,1080,2.7,8,256,1.37,4.54,1757.42
Notebook,15.6,3840,2160,2.8,16,1000,2.06,25.7,2399.0
Gaming,15.6,1920,1080,2.8,8,1128,2.5,23.0,1109.0
Notebook,17.0,1600,900,3.0,8,1000,2.6,2.05,520.9
Ultrabook,14.0,1920,1080,2.7,16,512,1.14,4.54,2450.0
Gaming,15.6,1920,1080,2.8,8,1000,2.5,29.3,1169.0
Notebook,15.6,1366,768,2.0,4,500,2.4,4.2,450.0
Notebook,14.0,1366,768,1.6,4,32,1.43,1.56,274.0
Ultrabook,14.0,1920,1080,2.5,8,256,1.8,4.54,919.0
Gaming,14.0,1920,1080,2.8,16,256,1.95,46.7,2599.0
Notebook,13.3,1920,1080,2.3,8,256,1.2,4.2,1213.0
Ultrabook,12.5,1920,1080,2.7,8,256,1.36,4.54,1584.0
Gaming,17.3,1920,1080,2.7,32,512,3.8,102.0,2799.0
Gaming,15.6,1920,1080,2.5,8,1000,2.4,25.7,709.0
Ultrabook,13.3,1920,1080,1.6,8,256,1.2,4.8,1449.9
Gaming,15.6,1920,1080,2.8,8,1128,2.2,29.3,1191.8
Notebook,15.6,1366,768,2.0,4,500,1.86,4.2,364.9
Notebook,15.6,1920,1080,2.5,8,500,2.0,4.54,1064.0
Notebook,15.6,1920,1080,1.8,8,256,2.2,6.64,919.0
Notebook,15.6,1920,1080,1.8,16,2256,2.2,6.64,1135.0
Gaming,15.6,1920,1080,2.6,8,1128,3.31,32.9,1196.0
Gaming,17.3,3840,2160,2.8,32,1512,4.42,79.7,3147.37
Notebook,14.0,1920,1080,2.4,8,256,1.56,4.2,1229.0
Notebook,15.6,1366,768,1.1,4,500,2.2,3.44,419.0
Notebook,15.6,1920,1080,2.3,4,500,2.2,4.2,535.0
Gaming,17.3,1920,1080,2.8,8,1128,2.7,46.7,1486.77
Notebook,15.6,1366,768,2.1,4,128,2.1,4.2,498.0
Notebook,15.6,1920,1080,2.5,8,1000,2.06,4.54,955.0
Notebook,15.6,1920,1080,2.7,8,1000,2.1,6.64,745.0
Notebook,15.6,1920,1080,2.5,8,256,2.0,4.54,1258.0
Notebook,15.6,1366,768,2.0,4,128,2.1,4.2,412.0
Ultrabook,13.5,2256,1504,2.8,8,256,1.252,7.49,1867.85
2 in 1 Convertible,13.3,1920,1080,2.5,8,256,1.3,4.54,1034.0
Notebook,15.6,1366,768,2.2,4,128,2.2,12.3,349.0
2 in 1 Convertible,14.0,1920,1080,2.4,4,128,1.63,8.62,699.0
Gaming,15.6,1920,1080,2.8,16,1256,2.4,25.7,1294.0
Ultrabook,14.0,1920,1080,2.5,8,256,1.1,4.54,1135.0
2 in 1 Convertible,11.6,1366,768,1.1,8,64,1.4,3.44,495.0
Ultrabook,15.6,1920,1080,1.8,8,512,1.09,4.54,2299.0
Gaming,15.6,1920,1080,2.5,16,256,2.5,29.3,1299.0
Gaming,15.6,1920,1080,2.5,8,256,2.2,25.7,997.9
Notebook,15.6,1366,768,1.1,4,128,1.86,3.44,419.0
Gaming,15.6,1920,1080,2.5,16,1128,3.21,46.7,2051.0
Notebook,17.3,1920,1080,2.0,4,256,2.5,51.3,699.0
2 in 1 Convertible,13.3,1920,1080,1.8,8,512,1.19,4.8,1499.0
Gaming,15.6,1920,1080,2.9,16,1256,3.49,79.7,2813.75
Notebook,15.6,1366,768,2.5,4,500,1.86,4.96,612.61
Notebook,17.3,1920,1080,2.4,6,2000,2.65,73.1,569.0
Notebook,15.6,1366,768,1.6,4,500,2.1,2.54,318.0
Notebook,14.0,1366,768,1.6,4,32,1.45,2.54,375.0
Notebook,14.0,1920,1080,2.5,4,256,1.7,4.54,699.0
Workstation,17.3,1920,1080,2.8,8,500,3.14,8.37,1907.99
2 in 1 Convertible,14.0,2560,1440,2.7,8,256,1.42,4.54,2590.0
Notebook,13.3,1920,1080,2.5,8,256,1.5,4.54,973.0
Netbook,11.6,1366,768,1.6,4,32,1.4,1.56,269.0
2 in 1 Convertible,14.0,1920,1080,2.7,16,512,1.38,4.54,1749.0
2 in 1 Convertible,12.5,1920,1080,0.9,4,64,1.2,2.92,669.0
Ultrabook,13.3,1920,1080,2.5,16,512,1.36,4.2,1877.0
Notebook,15.6,1920,1080,2.7,4,500,2.1,6.64,689.0
Gaming,15.6,1920,1080,2.5,8,1000,2.56,25.7,819.0
Notebook,15.6,1920,1080,2.9,4,256,2.2,6.64,399.0
Notebook,15.6,1366,768,3.6,8,1000,2.2,72.3,429.0
Notebook,15.6,1920,1080,2.5,4,1000,2.1,4.54,621.45
Notebook,15.6,1366,768,2.0,4,500,1.9,4.2,450.0
Notebook,15.6,1920,1080,2.5,8,256,2.18,4.54,795.0
2 in 1 Convertible,13.3,1920,1080,1.6,8,256,1.6,4.8,999.0
Notebook,14.0,1920,1080,2.3,8,256,1.8,4.2,1191.0
Notebook,17.3,1920,1080,2.5,6,2000,2.71,6.64,655.01
Gaming,15.6,1920,1080,2.8,8,1128,2.5,29.3,1249.0
Notebook,14.0,1920,1080,2.8,8,256,1.64,7.91,1089.0
Notebook,15.6,1920,1080,2.5,8,1000,1.98,4.54,726.0
Notebook,14.0,1920,1080,1.1,4,32,1.5,3.44,298.0
Notebook,15.6,1920,1080,2.6,16,512,1.93,4.54,1426.66
Notebook,14.0,1920,1080,2.5,8,256,1.87,5.76,857.07
Notebook,15.6,1920,1080,2.6,8,256,1.9,4.54,1179.0
Notebook,15.6,1366,768,2.0,4,500,2.19,17.5,298.0
Notebook,14.0,1920,1200,1.92,4,32,1.4,3.18,265.0
Notebook,17.3,1920,1080,2.7,8,256,2.63,7.91,1200.0
Ultrabook,14.0,2560,1440,2.5,8,512,1.17,4.2,1686.64
2 in 1 Convertible,13.3,1366,768,2.5,8,256,1.58,4.54,836.6
Ultrabook,14.0,1920,1080,2.5,8,256,1.32,4.54,1499.0
Gaming,17.3,3840,2160,2.8,32,1000,4.36,79.7,3659.4
Gaming,17.3,1920,1080,2.8,8,1128,2.7,29.3,1348.48
Notebook,15.6,1366,768,2.5,4,1000,1.9,4.54,489.9
Notebook,15.6,1920,1080,1.6,8,1128,2.2,6.64,719.0
2 in 1 Convertible,13.3,1920,1080,2.4,4,1000,1.71,4.54,649.0
Notebook,15.6,1366,768,2.5,8,1000,2.32,21.2,589.52
Notebook,15.6,1920,1080,3.0,4,1000,2.1,4.96,489.0
Gaming,17.3,1920,1080,2.6,16,1128,4.2,46.7,1935.0
Notebook,15.6,1366,768,2.5,12,1000,2.25,4.54,649.0
Notebook,15.6,1920,1080,3.0,6,1128,2.1,4.96,650.0
Notebook,15.6,1366,768,2.5,4,500,2.4,4.54,559.0
Notebook,13.3,1920,1080,2.5,8,256,1.44,4.54,960.0
Notebook,15.6,1920,1080,2.7,4,1000,1.85,4.54,779.0
Workstation,15.6,1920,1080,2.8,16,256,2.6,79.6,2419.0
2 in 1 Convertible,13.3,1920,1080,1.6,8,1000,1.55,4.8,659.0
Gaming,15.6,1920,1080,2.8,16,1256,1.8,46.7,2094.48
Notebook,15.6,1366,768,2.0,4,500,2.4,4.2,410.8
Notebook,15.6,1920,1080,2.7,8,1128,2.0,8.62,1207.0
Notebook,15.6,1366,768,2.0,8,256,2.0,4.2,665.0
Notebook,14.0,1920,1080,2.5,8,256,1.25,4.54,1535.0
2 in 1 Convertible,14.0,1920,1080,2.5,8,256,1.7,4.54,999.0
Notebook,14.0,1366,768,1.6,2,32,1.68,3.18,330.0
Ultrabook,13.3,1920,1080,2.7,16,256,0.81,4.54,1649.0
Notebook,15.6,1920,1080,2.0,8,256,1.86,4.2,539.0
Notebook,14.0,1366,768,2.5,8,256,1.6,4.54,1126.71
Workstation,17.3,1920,1080,2.9,16,256,3.0,60.3,4389.0
Netbook,11.6,1366,768,1.6,4,128,1.4,3.18,475.0
Notebook,15.6,1920,1080,2.4,8,256,1.84,4.2,1900.0
Notebook,15.6,1366,768,2.3,4,1000,2.45,14.0,579.0
Ultrabook,14.0,1920,1080,2.3,4,180,1.7,4.2,1096.0
Notebook,15.6,1366,768,2.7,4,256,2.37,4.54,849.9
2 in 1 Convertible,13.3,3200,1800,1.8,8,256,1.3,27.2,1199.0
Notebook,15.6,1920,1080,2.5,8,1128,2.2,25.7,1099.0
Workstation,15.6,1920,1080,2.6,8,256,2.59,53.4,1561.0
Gaming,15.6,3840,2160,2.8,16,1256,4.42,79.7,2868.99
Notebook,15.6,1366,768,2.5,4,256,2.1,4.54,599.0
Gaming,15.6,1920,1080,2.8,8,1128,2.5,25.7,1048.0
Ultrabook,12.5,1920,1080,2.8,16,256,1.18,4.54,1859.0
Ultrabook,12.3,2400,1600,1.2,8,256,1.1,3.4,1559.0
Ultrabook,13.3,3200,1800,2.5,8,256,1.2,4.54,1129.0
Notebook,13.3,1366,768,2.0,4,500,1.65,4.2,849.0
Notebook,13.3,1366,768,2.3,4,128,1.6,4.2,655.0
Notebook,17.3,1366,768,1.1,4,1000,2.8,5.76,470.34
Gaming,15.6,3840,2160,2.6,16,1128,2.72,16.4,1099.0
Ultrabook,13.3,1920,1080,2.7,8,256,1.31,4.54,1599.0
Notebook,15.6,1920,1080,2.7,16,256,2.3,21.2,1181.27
2 in 1 Convertible,15.0,1920,1080,2.7,16,256,1.71,10.5,1799.0
Notebook,14.0,1366,768,2.3,4,128,1.75,4.2,1020.0
Gaming,15.6,1920,1080,2.8,8,1000,2.62,25.7,1099.0
Ultrabook,12.5,1366,768,2.3,4,256,1.26,4.2,1244.0
2 in 1 Convertible,15.6,1920,1080,2.7,12,2000,2.3,8.62,839.0
Notebook,15.6,3840,2160,2.7,16,512,2.5,60.3,2370.0
Notebook,14.0,1920,1080,2.4,4,128,1.8,4.54,636.0
Gaming,14.0,1920,1080,2.8,16,512,1.95,46.7,2899.0
Gaming,17.3,1920,1080,2.8,32,1000,4.42,72.5,3588.8
Gaming,17.3,1920,1080,2.6,16,1256,4.3,79.7,2350.0
Ultrabook,14.0,1920,1080,2.6,16,512,1.47,7.91,1764.0
Notebook,15.6,1366,768,1.6,8,1000,2.2,2.1,329.0
Ultrabook,14.0,1920,1080,2.7,16,512,1.7,4.54,2299.0
Gaming,14.0,1920,1080,2.8,16,1256,1.6,46.7,1891.0
Gaming,15.6,1920,1080,2.5,8,1128,2.2,25.7,1089.0
Gaming,15.6,1920,1080,2.8,4,1000,2.4,25.7,999.0
Gaming,17.3,1920,1080,2.8,16,1256,4.2,46.7,2299.0
Gaming,15.6,1920,1080,2.5,8,256,2.62,25.7,985.0
Gaming,15.6,1920,1080,2.8,8,1128,2.24,56.1,1339.0
Notebook,14.0,1920,1080,1.1,4,32,1.22,3.44,202.9
2 in 1 Convertible,13.3,1920,1080,2.7,8,512,1.37,4.54,1970.0
2 in 1 Convertible,15.6,1920,1080,2.5,8,256,2.08,35.8,959.0
Ultrabook,12.0,2304,1440,1.2,8,512,0.92,2.53,1165.0
2 in 1 Convertible,14.0,2560,1440,2.5,8,256,1.42,4.54,2330.0
Notebook,14.0,1366,768,1.1,4,32,1.63,3.44,299.0
Notebook,15.6,1366,768,2.5,8,128,1.95,4.54,810.0
2 in 1 Convertible,13.9,1920,1080,2.7,8,256,1.38,4.54,1349.0
Notebook,15.6,1920,1080,2.0,8,256,2.0,63.2,739.0
Workstation,15.6,1920,1080,2.8,8,256,3.14,79.6,2064.9
Notebook,15.6,1920,1080,2.5,8,256,2.37,4.54,1099.0
Ultrabook,13.3,1920,1080,2.5,8,256,1.29,4.54,1499.0
Notebook,15.6,3840,2160,2.5,8,256,2.06,25.7,1749.0
Netbook,12.5,1366,768,2.6,8,256,1.26,4.54,1389.0
Notebook,15.6,1366,768,2.3,4,500,2.1,4.2,780.0
Notebook,15.6,1366,768,2.5,8,2000,2.04,5.92,629.0
Gaming,15.6,3840,2160,2.8,16,512,2.62,29.3,1679.0
Notebook,15.6,1920,1080,2.5,4,1000,2.4,5.76,609.0
